,Dynamic Strategy,Static Strategy
2022-01-02,0.015395607206032058,0.012915133994342387
2022-01-03,0.009816302574463375,0.008558427277597834
2022-01-04,0.005251034169691015,0.002733002182157461
2022-01-05,-0.02514002898947925,-0.0314124082749637
2022-01-06,-0.02611364085725654,-0.045490009304239125
2022-01-07,-0.05745994021278977,-0.08482384558797051
2022-01-08,-0.07469673596411323,-0.08913329077954879
2022-01-09,-0.053646822809725325,-0.0681339907726604
2022-01-10,-0.06833176666331439,-0.08194993214180997
2022-01-11,-0.04389307938792736,-0.06140639119126876
2022-01-12,-0.001598098656774391,-0.0228311695972647
2022-01-13,-0.04810883873967245,-0.06590499872592978
2022-01-14,-0.023692197417305997,-0.05065288762517389
2022-01-15,-0.02352690394082127,-0.049067368290867094
2022-01-16,-0.003725703830897993,-0.04631558509085823
2022-01-17,-0.007007153160251295,-0.08688392350281011
2022-01-18,-0.03522947553984298,-0.09659895263109158
2022-01-19,-0.07457058694489373,-0.1272329560941058
2022-01-20,-0.11723278085351153,-0.17006606299361235
2022-01-21,-0.2396493179015599,-0.29500924852332566
2022-01-22,-0.3003198802315834,-0.37738989699750025
2022-01-23,-0.25167173697179296,-0.32770928753490725
2022-01-24,-0.2841296584580513,-0.36615208681839906
2022-01-25,-0.2844919819616664,-0.35549731359488773
2022-01-26,-0.2791069915779533,-0.36215202830927434
2022-01-27,-0.29324170688535933,-0.37535389570680217
2022-01-28,-0.2645138457782527,-0.34423208689373563
2022-01-29,-0.2545398950698451,-0.32520904304146797
2022-01-30,-0.24455022396298734,-0.3171297200496629
2022-01-31,-0.2328428020274955,-0.2944734011140784
2022-02-01,-0.19009777252793356,-0.2641121463935929
2022-02-02,-0.2459555975085596,-0.3189635674824323
2022-02-03,-0.24315010116378555,-0.3122912883166876
2022-02-04,-0.13301818573241692,-0.21351968527495474
2022-02-05,-0.12488729317022904,-0.20113234506365785
2022-02-06,-0.10603429239539465,-0.1835231800754809
2022-02-07,-0.036800404752277624,-0.11620414644154753
2022-02-08,-0.022718466338448658,-0.11520849493798546
2022-02-09,-0.00737020718113604,-0.10535395858185656
2022-02-10,-0.04142367907703365,-0.1538698394357764
2022-02-11,-0.11243613449329892,-0.21955396925056778
2022-02-12,-0.09968750240692674,-0.2084908484653003
2022-02-13,-0.11815196674261622,-0.2222662807786874
2022-02-14,-0.09833157473834604,-0.2095060776584192
2022-02-15,-0.01622019902674607,-0.13605638534234352
2022-02-16,-0.02520333980078037,-0.1524923290612063
2022-02-17,-0.10553317386328756,-0.23632709148060463
2022-02-18,-0.12669232163942817,-0.2521221976955359
2022-02-19,-0.11230465375231882,-0.23694902230671067
2022-02-20,-0.16080584894080885,-0.2784486476833536
2022-02-21,-0.22737999959818408,-0.3411885826852479
2022-02-22,-0.18910923615989592,-0.3087993384251378
2022-02-23,-0.21061412075024316,-0.3367924548281102
2022-02-24,-0.18739392072186334,-0.3233273960166211
2022-02-25,-0.13022267737686027,-0.26126694599060724
2022-02-26,-0.13696011786348547,-0.26568873726047065
2022-02-27,-0.19035347399141334,-0.3163613999148269
2022-02-28,-0.06427405525509788,-0.19379549132399654
2022-03-01,-0.050583560055822915,-0.1829010488201676
2022-03-02,-0.062095471523530364,-0.1869895559290286
2022-03-03,-0.10433142212537243,-0.22113592705110388
2022-03-04,-0.1714393250274568,-0.29372901643981464
2022-03-05,-0.1518930142281328,-0.26923121591031424
2022-03-06,-0.2019103989315728,-0.311255785010832
2022-03-07,-0.22966847607986862,-0.33343159146543616
2022-03-08,-0.21344356211439913,-0.31815591339036514
2022-03-09,-0.14760245966201926,-0.2478763187352032
2022-03-10,-0.1998320375220317,-0.300319415469643
2022-03-11,-0.2221207107342686,-0.2968240751826648
2022-03-12,-0.21779530005080938,-0.29530209365513455
2022-03-13,-0.24347161428219607,-0.3246538842146069
2022-03-14,-0.2160653775860334,-0.28981505583559897
2022-03-15,-0.2028161744015825,-0.2821692927670723
2022-03-16,-0.14308065181788596,-0.22816488716574593
2022-03-17,-0.12973469354176298,-0.22982092073378615
2022-03-18,-0.08799089551234923,-0.20235568018563752
2022-03-19,-0.06251985892841008,-0.1900721923442378
2022-03-20,-0.09863430898497252,-0.21748059527029173
2022-03-21,-0.07630412157678275,-0.2011502443291287
2022-03-22,-0.05395233857025172,-0.18011858803231107
2022-03-23,-0.0031450380926885263,-0.15884620903902497
2022-03-24,0.028704533748585823,-0.12789720691900042
2022-03-25,-0.00019742638475700805,-0.14468737129230155
2022-03-26,0.02657692048978123,-0.13046008572353776
2022-03-27,0.07395246169059148,-0.08124585155177852
2022-03-28,0.06907290286805239,-0.0809066610745545
2022-03-29,0.09916652228296279,-0.061409061553945474
2022-03-30,0.12326834469482215,-0.04455902857155323
2022-03-31,0.11116751580009582,-0.06811779654611205
2022-04-01,0.14898930390796267,-0.027449318174096793
2022-04-02,0.14569651844549636,-0.03244665743010615
2022-04-03,0.17025279074876004,-0.006145631965291047
2022-04-04,0.16487137741228444,-0.022460435680137752
2022-04-05,0.13678495683613623,-0.0519813072133201
2022-04-06,0.062407839663628006,-0.128233992745528
2022-04-07,0.08661429726211498,-0.1009834004398272
2022-04-08,0.049732044487811024,-0.14100029256287988
2022-04-09,0.0665564142026709,-0.12204027963823194
2022-04-10,0.055177571307174635,-0.1328929984469171
2022-04-11,-0.030423910136204886,-0.21926906295846416
2022-04-12,-0.0070886806358190155,-0.19548518546927984
2022-04-13,0.013021699966206866,-0.17618605070595814
2022-04-14,-0.014713519611724082,-0.20342410338666794
2022-04-15,0.017706832919277007,-0.17459261886131264
2022-04-16,0.017491666927286223,-0.17250210540200395
2022-04-17,-0.010681187852203143,-0.19690409055380056
2022-04-18,0.011303003800780607,-0.17563590689046055
2022-04-19,0.026182073339386856,-0.15172616773151174
2022-04-20,0.011318198992057157,-0.16891746076253927
2022-04-21,-0.015634265214113676,-0.1971913016241816
2022-04-22,-0.025274876846397766,-0.20839016836309338
2022-04-23,-0.039564233698508845,-0.21830438260795765
2022-04-24,-0.04456194024389296,-0.22581243733700326
2022-04-25,-0.029491247241917797,-0.2094726616864391
2022-04-26,-0.10183246025106824,-0.27679833233667694
2022-04-27,-0.0776274881281289,-0.2503005888830613
2022-04-28,-0.07433356304351164,-0.24819754143704645
2022-04-29,-0.11883714574114682,-0.2919839496117294
2022-04-30,-0.16577495735054748,-0.34586845703984737
2022-05-01,-0.13292654115047037,-0.31116945740501456
2022-05-02,-0.13298834911079074,-0.31366314973062687
2022-05-03,-0.14895679561041308,-0.33094459305549156
