,Sharpe Ratio,Cumulative Return[%],ADA-USD,AVAX-USD,BTC-USD,ETH-USD,LINK-USD,SOL-USD,XRP-USD
Dynamic Strategy,1.24,"2022-01-02       1.540
2022-01-03       0.973
2022-01-04       0.512
2022-01-05      -2.543
2022-01-06      -2.637
                ...   
2024-12-12    1163.594
2024-12-13    1168.425
2024-12-14    1136.853
2024-12-15    1162.298
2024-12-16    1150.733
Length: 1080, dtype: float64",0.2,0.2,-0.0,0.2,0.2,-0.0,0.2
Static Strategy,0.549,"2022-01-02      1.292
2022-01-03      0.850
2022-01-04      0.263
2022-01-05     -3.161
2022-01-06     -4.524
               ...   
2024-12-12    115.569
2024-12-13    117.135
2024-12-14    115.384
2024-12-15    119.336
2024-12-16    119.051
Length: 1080, dtype: float64",0.0,-0.0,0.2,0.2,0.2,0.2,0.2
